0
         3.25 : {'trueAccept': 2, 'falseAccept': 5, 'trueReject': 195, 'falseReject': 198}
         3.3 : {'trueAccept': 2, 'falseAccept': 5, 'trueReject': 195, 'falseReject': 198}
         3.35 : {'trueAccept': 0, 'falseAccept': 5, 'trueReject': 195, 'falseReject': 200}
         3.4 : {'trueAccept': 0, 'falseAccept': 5, 'trueReject': 195, 'falseReject': 200}
         3.45 : {'trueAccept': 0, 'falseAccept': 4, 'trueReject': 196, 'falseReject': 200}
         3.5 : {'trueAccept': 0, 'falseAccept': 4, 'trueReject': 196, 'falseReject': 200}
         3.55 : {'trueAccept': 0, 'falseAccept': 4, 'trueReject': 196, 'falseReject': 200}
         3.6 : {'trueAccept': 0, 'falseAccept': 4, 'trueReject': 196, 'falseReject': 200}
         3.65 : {'trueAccept': 0, 'falseAccept': 4, 'trueReject': 196, 'falseReject': 200}
         3.7 : {'trueAccept': 0, 'falseAccept': 4, 'trueReject': 196, 'falseReject': 200}
         3.75 : {'trueAccept': 0, 'falseAccept': 4, 'trueReject': 196, 'falseReject': 200}
         3.8 : {'trueAccept': 0, 'falseAccept': 4, 'trueReject': 196, 'falseReject': 200}
         3.85 : {'trueAccept': 0, 'falseAccept': 3, 'trueReject': 197, 'falseReject': 200}
         3.9 : {'trueAccept': 0, 'falseAccept': 3, 'trueReject': 197, 'falseReject': 200}
         3.95 : {'trueAccept': 0, 'falseAccept': 2, 'trueReject': 198, 'falseReject': 200}
3
         0.75 : {'trueAccept': 200, 'falseAccept': 196, 'trueReject': 4, 'falseReject': 0}
         0.8 : {'trueAccept': 200, 'falseAccept': 194, 'trueReject': 6, 'falseReject': 0}
         0.85 : {'trueAccept': 199, 'falseAccept': 191, 'trueReject': 9, 'falseReject': 1}
         0.9 : {'trueAccept': 199, 'falseAccept': 187, 'trueReject': 13, 'falseReject': 1}
         0.95 : {'trueAccept': 196, 'falseAccept': 187, 'trueReject': 13, 'falseReject': 4}
         1.0 : {'trueAccept': 194, 'falseAccept': 186, 'trueReject': 14, 'falseReject': 6}
         1.05 : {'trueAccept': 190, 'falseAccept': 184, 'trueReject': 16, 'falseReject': 10}
         1.1 : {'trueAccept': 189, 'falseAccept': 181, 'trueReject': 19, 'falseReject': 11}
         1.15 : {'trueAccept': 187, 'falseAccept': 175, 'trueReject': 25, 'falseReject': 13}
         1.2 : {'trueAccept': 181, 'falseAccept': 170, 'trueReject': 30, 'falseReject': 19}
         1.25 : {'trueAccept': 175, 'falseAccept': 164, 'trueReject': 36, 'falseReject': 25}
         1.3 : {'trueAccept': 168, 'falseAccept': 158, 'trueReject': 42, 'falseReject': 32}
         1.35 : {'trueAccept': 164, 'falseAccept': 148, 'trueReject': 52, 'falseReject': 36}
         1.4 : {'trueAccept': 159, 'falseAccept': 143, 'trueReject': 57, 'falseReject': 41}
         1.45 : {'trueAccept': 152, 'falseAccept': 135, 'trueReject': 65, 'falseReject': 48}
         1.5 : {'trueAccept': 134, 'falseAccept': 131, 'trueReject': 69, 'falseReject': 66}
